Section,Service Name,Type,Resource Group,Location,TierOrRuntime,ExtraColumn,Status,Tag
API Management,api-kohler-dev2 dev,API Management,GLOBAL-API-Management-DEV-rg,Central US,Developer Tier,Dev Portal,Online,View
API Management,api-kohler-test test,API Management,GLOBAL-API-Management-TEST-rg,East US,Developer Tier,Test Portal,Online,View
API Management,api-kohler-uat uat,API Management,GLOBAL-API-Management-PRE-PROD-rg,Central US,Premium Tier,UAT Portal,Online,View
API Management,az-amer-prod-kohlerapim-apim prod,API Management,az-amer-prod-kohlerapim-rg,North Central US,Premium Tier,Prod Portal,Online,View
API Management,az-amer-prod-kohlerapimdr-apim dr,API Management,az-amer-prod-kohlerapimdr-rg,West US,Premium Tier,DR Portal,Online,View
Logic Apps,APIM-Extension-Logic-App prod,Logic App,GLOBAL-API-Management-PROD-rg,Central US,,,Enabled,View
Logic Apps,APIM-Extension-Logic-App-Dev dev,Logic App,global-api-management-dev-rg,Central US,,,Enabled,View
Logic Apps,APIM-Extension-Logic-App-PreProd uat,Logic App,GLOBAL-API-Management-PRE-PROD-rg,Central US,,,Enabled,View
Logic Apps,APIM-Extension-Logic-App-Test test,Logic App,GLOBAL-API-Management-TEST-rg,Central US,,,Enabled,View
Logic Apps,product-registration test,Logic App,AMER-ECOMM-SALESFORCE-SERVICE-Test-rg,Central US,,,Enabled,View
Logic Apps,product-registration dev,Logic App,AMER-ECOMM-SALESFORCE-SERVICE-DEV-rg,Central US,,,Enabled,View
Logic Apps,salesforce-ecomm-logicapp-prod prod,Logic App,rg-salesforce-prod,East US,,,Enabled,View
Function App,apim-services-func-dev dev,Function App,global-api-management-dev-rg,Central US,.NET 6,,Running,View
Function App,apim-services-func-test test,Function App,global-api-management-test-rg,Central US,Python 3.9,,Running,View
Function App,apim-services-func-uat uat,Function App,global-api-management-pre-prod-rg,Central US,Python 3.9,,Running,View
Function App,apim-services-func-prod prod,Function App,global-api-management-prod-rg,Central US,Python 3.9,,Running,View
Function App,asr-finder-dev dev,Function App,AMER-TEST-ASR-FINDER-rg,Central US,Python 3.9,,Running,View
Function App,asr-finder-integration-qa test,Function App,AMER-TEST-ASR-FINDER-rg,Central US,Python 3.9,,Running,View
Function App,asr-finder-integration-uat uat,Function App,AMER-TEST-ASR-FINDER-rg,Central US,Python 3.9,,Running,View
Function App,asr-finder-integration-prod prod,Function App,AMER-PROD-ASR-FINDER-rg,Central US,Python 3.9,,Running,View
Function App,commercetools-product-integrations-preprod uat,Function App,GLOBAL-COMMERCETOOLS-PREPROD-rg,Central US,Python 3.9,,Running,View
Function App,commercetools-product-integrations-qa test,Function App,GLOBAL-COMMERCETOOLS-TEST-rg,Central US,Python 3.9,,Running,View
Function App,ecomm-aem-funcapp-prod prod,Function App,global-aem-prod-rg,Central US,Python 3.9,,Running,View
Function App,ecomm-aem-funcapp-test test,Function App,global-aem-test-rg,Central US,Python 3.9,,Running,View
